1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,
Japan,8100,[6300 - 10 000],6500,[5200 - 8100],8100,[6300 - 10 000],6400,[5200 - 8100],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],2700,[2100 - 3400],2200,[1700 - 2700],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<500,[<200 - <500],<500,[<200 - <500],<100,[<100 - <500],<100,[<100 - <200],...,...,...,...,...,...,...,...,2009,4.0,
Mongolia,<500,[<500 - <1000],<100,[<100 - <200],<500,[<500 - <1000],<100,[<100 - <200],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<200,[<100 - <200],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<100,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,…,...,2009,1.8,
Republic of Korea,9500,[7000 - 13 000],5200,[4100 - 6700],9500,[7000 - 13 000],5200,[4100 - 6700],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],2900,[2200 - 4000],1600,[1200 - 2000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<1000,[<500 - 1000],<1000,[<500 - 1000],<500,[<500 - <1000],<500,[<100 - <500],...,...,...,...,...,...,...,...,...,...,
Australia,20 000,[15 000 - 25 000],13 000,[10 000 - 16 000],20 000,[15 000 - 25 000],13 000,[9900 - 16 000],0.1, [0.1 - 0.2],0.1, [0.1 - 0.1],6200,[4800 - 7800],3900,[3100 - 4900],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<1000 - 1500],...,[<1000 - 1500],<100,[<100 - <1000],<100,[<100 - <200],...,...,...,...,2008,1.5,2008,0.1,...,...,
Fiji,<1000,[<500 - <1000],<200,[<100 - <500],<1000,[<500 - <1000],<200,[<100 - <500],0.1, [0.1 - 0.2],<0.1, [<0.1 - 0.1],<200,[<200 - <500],<100,[<100 - <100],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <200],...,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
New Zealand,2500,[2000 - 3200],1600,[1400 - 2100],2400,[2000 - 3200],1600,[1400 - 2100],0.1, [0.1 - 0.1],0.1, [0.1 - 0.1],<1000,[<1000 - 1000],<1000,[<500 - <1000],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <200],...,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2004,0.3,...,...,...,...,
Papua New Guinea,34 000,[30 000 - 39 000],14 000,[9400 - 21 000],31 000,[27 000 - 35 000],13 000,[9100 - 19 000],0.9, [0.8 - 1.0],0.5, [0.3 - 0.7],18 000,[16 000 - 21 000],7600,[5100 - 11 000],3100,[1600 - 4800],<1000,[<500 - 1500],0.8, [0.6 - 1.2],0.3, [0.2 - 0.5],<0.10, [<0.10 - 0.13],0.13, [0.11 - 0.16],3200,[2100 - 4800],2400,[1400 - 4100],1300,[<1000 - 1900],<1000,[<500 - <1000],...,...,...,...,...,...,2009,7.4,2009,4.4,
Bangladesh,6300,[5200 - 8300],1100,[<100 - 2400],6200,[5100 - 8100],1100,[<100 - 2300],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],1900,[1500 - 2400],<500,[<100 - <1000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],1400,[1000 - 2400],1400,[<1000 - 2400],<200,[<100 - <500],<100,[<100 - <200],...,...,...,...,2007,1.6,2007,0.3,…,...,
Bhutan,<1000,[<1000 - 1500],<200,[<100 - <500],<1000,[<1000 - 1500],<100,[<100 - <500],0.2, [0.1 - 0.3],<0.1, [<0.1 - 0.1],<500,[<200 - <500],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.1],..., [<0.10 - 0.13],..., [<0.10 - <0.10],...,[<200 - <1000],...,[<200 - <1000],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Cambodia,63 000,[42 000 - 90 000],92 000,[63 000 - 130 000],56 000,[38 000 - 82 000],83 000,[58 000 - 110 000],0.5, [0.4 - 0.8],1.2, [0.8 - 1.6],35 000,[23 000 - 52 000],51 000,[34 000 - 71 000],...,...,...,...,0.1, [0.1 - 0.3],0.1, [<0.1 - 0.2],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - 0.11],1700,[<1000 - 4200],1200,[<200 - 3500],3100,[<1000 - 5600],7400,[5000 - 11 000],...,...,...,...,2007,24.4,…,...,2005,4.5,
India,2 400 000,[2 100 000 - 2 800 000],2 500 000,[2 300 000 - 2 900 000],2 300 000,[2 000 000 - 2 600 000],2 500 000,[2 200 000 - 2 800 000],0.3, [0.3 - 0.4],0.4, [0.4 - 0.5],880 000,[730 000 - 1 000 000],880 000,[780 000 - 1 000 000],...,...,...,...,0.1, [0.1 - 0.2],0.1, [0.1 - 0.2],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],140 000,[110 000 - 160 000],120 000,[100 000 - 150 000],170 000,[150 000 - 200 000],140 000,[120 000 - 170 000],...,...,...,...,2009,9.2,2009,4.9,2009,7.3,
Indonesia,310 000,[200 000 - 460 000],11 000,[<100 - 34 000],300 000,[200 000 - 460 000],11 000,[<100 - 34 000],0.2, [0.1 - 0.3],<0.1, [<0.1 - <0.1],88 000,[58 000 - 130 000],3200,[<100 - 9600],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[29 000 - 87 000],...,[29 000 - 86 000],8300,[3800 - 15 000],<200,[<100 - 1900],...,...,...,...,2007,52.4,2007,7.8,2007,5.2,
Lao People Democratic Republic,8500,[6000 - 13 000],<1000,[<100 - 1700],8300,[5800 - 12 000],<1000,[<100 - 1700],0.2, [0.2 - 0.4],<0.1, [<0.1 - 0.1],3500,[2400 - 5500],<500,[<100 - <500],...,...,...,...,0.2, [0.1 - 0.3],0.1, [0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<1000 - 3400],...,[<1000 - 3100],<200,[<100 - <500],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Malaysia,100 000,[83 000 - 120 000],67 000,[57 000 - 80 000],100 000,[83 000 - 120 000],67 000,[56 000 - 80 000],0.5, [0.4 - 0.6],0.4, [0.3 - 0.5],11 000,[8600 - 15 000],6100,[4100 - 8100],...,...,...,...,<0.1, [<0.1 - <0.1],0.1, [0.1 - 0.2],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],10 000,[8400 - 13 000],10 000,[8400 - 13 000],5800,[4500 - 7200],3900,[3000 - 5200],...,...,...,...,…,22.1,…,...,2009,3.9,
Maldives,<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,…,...,…,...,…,...,
Myanmar,240 000,[200 000 - 290 000],250 000,[190 000 - 310 000],230 000,[190 000 - 280 000],250 000,[190 000 - 310 000],0.6, [0.5 - 0.7],0.8, [0.6 - 0.9],81 000,[67 000 - 96 000],67 000,[53 000 - 83 000],...,...,...,...,0.3, [0.2 - 0.3],0.3, [0.3 - 0.4],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],17 000,[14 000 - 20 000],16 000,[14 000 - 19 000],18 000,[13 000 - 23 000],16 000,[12 000 - 20 000],...,...,...,...,2008,36.3,2008,18.1,2008,28.8,
Nepal,64 000,[51 000 - 80 000],60 000,[49 000 - 72 000],60 000,[48 000 - 75 000],57 000,[47 000 - 69 000],0.4, [0.3 - 0.5],0.5, [0.4 - 0.6],20 000,[16 000 - 25 000],19 000,[15 000 - 22 000],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.6],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],4800,[2700 - 7800],4300,[2300 - 7200],4700,[3800 - 5700],4000,[3200 - 4900],...,...,...,...,2009,20.7,2008,2.2,2009,3.8,
Pakistan,98 000,[79 000 - 120 000],39 000,[32 000 - 48 000],95 000,[76 000 - 120 000],39 000,[32 000 - 47 000],0.1, [0.1 - 0.1],0.1, [<0.1 - 0.1],28 000,[23 000 - 35 000],11 000,[9000 - 13 000],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[7300 - 15 000],...,[6700 - 14 000],5800,[4500 - 7400],1400,[<1000 - 1900],...,...,...,...,2008,20.8,2009,1.0,...,...,
Philippines,8700,[6100 - 13 000],1700,[<100 - 4000],8600,[6000 - 13 000],1600,[<100 - 3900],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],2600,[1800 - 3900],<500,[<100 - 1100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],2100,[1200 - 4900],2100,[1200 - 4800],<200,[<100 - <500],<100,[<100 - <500],...,...,...,...,2009,0.2,2009,0.2,2009,1.0,
Singapore,3400,[2500 - 4400],2800,[2200 - 3800],3300,[2400 - 4300],2700,[2100 - 3700],0.1, [0.1 - 0.1],0.1, [0.1 - 0.1],1000,[<1000 - 1300],<1000,[<1000 - 1100],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <500],...,[<100 - <500],<100,[<100 - <200],<100,[<100 - <500],...,...,...,...,...,...,…,...,2009,2.6,
Sri Lanka,2800,[2100 - 3800],1300,[<1000 - 1900],2800,[2100 - 3700],1300,[<1000 - 1900],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<1000,[<500 - <1000],<500,[<200 - <500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<500,[<200 - <1000],<500,[<200 - <1000],<200,[<100 - <500],<100,[<100 - <100],...,...,...,...,...,...,…,...,2009,0.5,
Thailand,530 000,[420 000 - 660 000],640 000,[480 000 - 820 000],520 000,[410 000 - 640 000],610 000,[470 000 - 790 000],1.3, [1.0 - 1.6],1.7, [1.3 - 2.1],210 000,[160 000 - 260 000],220 000,[160 000 - 300 000],...,...,...,...,..., [0.4 - 0.7],..., [0.4 - 0.5],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],12 000,[9800 - 15 000],12 000,[9500 - 14 000],28 000,[21 000 - 37 000],52 000,[39 000 - 68 000],...,...,...,...,2009,38.7,2009,2.8,2009,13.5,
Viet Nam,280 000,[220 000 - 350 000],140 000,[110 000 - 180 000],270 000,[220 000 - 350 000],140 000,[110 000 - 170 000],0.4, [0.3 - 0.5],0.3, [0.2 - 0.3],81 000,[63 000 - 100 000],39 000,[31 000 - 50 000],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[16 000 - 38 000],...,[15 000 - 37 000],14 000,[9500 - 20 000],5500,[3900 - 7500],...,...,...,...,2009,18.4,2009,3.2,2010,16.7,
Armenia,1900,[1500 - 2400],1400,[1100 - 1700],1900,[1500 - 2300],1400,[1100 - 1700],0.1, [0.1 - 0.1],0.1, [0.1 - 0.1],<1000,[<500 - <1000],<500,[<500 - <1000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<500,[<200 - <500],<500,[<200 - <500],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Azerbaijan,3600,[2600 - 5200],1300,[<500 - 1700],3500,[2500 - 5100],1200,[<500 - 1600],0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],2100,[1500 - 3000],<1000,[<500 - <1000],...,...,...,...,0.1, [0.1 - 0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - 1100],...,[<500 - 1100],<200,[<200 - <500],<100,[<100 - <100],...,...,...,...,2008,10.3,2008,1.7,2008,1.0,
Belarus,17 000,[13 000 - 20 000],6300,[5100 - 7800],16 000,[13 000 - 20 000],6300,[5000 - 7800],0.3, [0.2 - 0.3],0.1, [0.1 - 0.1],8300,[6700 - 10 000],2300,[1900 - 2900],...,...,...,...,0.1, [0.1 - 0.1],<0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],1500,[1100 - 2200],1500,[1100 - 2200],<1000,[<500 - <1000],<200,[<100 - <500],...,...,...,...,2009,13.7,2009,6.4,2009,2.7,
Georgia,3500,[2600 - 4900],1200,[<100 - 1700],3400,[2500 - 4800],1200,[<100 - 1700],0.1, [0.1 - 0.2],<0.1, [<0.1 - 0.1],1500,[1100 - 2100],<500,[<100 - <1000],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<1000,[<500 - 1200],<1000,[<500 - 1200],<100,[<100 - <200],<100,[<100 - <200],...,...,...,...,2008,2.2,2009,2.0,2007,3.6,
Kazakhstan,13 000,[9000 - 19 000],1800,[<1000 - 3400],13 000,[8900 - 19 000],1800,[<1000 - 3400],0.1, [0.1 - 0.2],<0.1, [<0.1 - <0.1],7700,[5300 - 11 000],1100,[<1000 - 2000],...,...,...,...,0.2, [0.1 - 0.3],0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],1900,[1200 - 3600],1900,[1200 - 3600],<500,[<200 - <1000],<100,[<100 - <100],...,...,...,...,2009,2.9,2009,1.3,2009,0.3,
Kyrgyzstan,9800,[6500 - 16 000],<1000,[<100 - 11 000],9700,[6400 - 16 000],<1000,[<100 - 11 000],0.3, [0.2 - 0.5],<0.1, [<0.1 - 0.3],2800,[1900 - 4700],<500,[<100 - 3200],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],<0.10, [<0.10 - 0.22],<0.10, [<0.10 - <0.10],2600,[1400 - 6500],2600,[1400 - 6500],<500,[<100 - <500],<100,[<100 - 3300],...,...,...,...,2009,14.3,2009,1.6,...,...,
Republic of Moldova,12 000,[9900 - 16 000],12 000,[9900 - 16 000],12 000,[9800 - 15 000],12 000,[9800 - 16 000],0.4, [0.4 - 0.6],0.4, [0.3 - 0.6],5100,[4100 - 6600],3700,[2900 - 4800],...,...,...,...,0.1, [0.1 - 0.1],0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<1000,[<1000 - 1200],<1000,[<1000 - 1200],<1000,[<1000 - 1100],<1000,[<500 - <1000],...,...,...,...,...,...,...,...,...,...,
Russian Federation,980 000,[840 000 - 1 200 000],430 000,[350 000 - 550 000],960 000,[830 000 - 1 100 000],430 000,[350 000 - 550 000],1.0, [0.9 - 1.2],0.5, [0.4 - 0.6],480 000,[400 000 - 570 000],190 000,[160 000 - 250 000],...,...,...,...,0.3, [0.3 - 0.4],0.2, [0.1 - 0.2],..., [<0.10 - 0.14],..., [0.17 - 0.25],...,[67 000 - 120 000],...,[64 000 - 110 000],…,[35 000 - 65 000],…,[3000 - 6000],...,...,...,...,2009,15.6,2009,4.5,2009,8.3,
Tajikistan,9100,[6400 - 13 000],4100,[3100 - 5300],8900,[6300 - 12 000],4000,[3000 - 5200],0.2, [0.1 - 0.3],0.1, [0.1 - 0.1],2700,[1900 - 3700],1100,[<1000 - 1500],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],1400,[<1000 - 2300],1300,[<1000 - 2200],<500,[<500 - <1000],<200,[<200 - <500],...,...,...,...,2008,17.6,2008,2.8,...,...,
Ukraine,350 000,[300 000 - 410 000],290 000,[250 000 - 330 000],350 000,[300 000 - 410 000],290 000,[250 000 - 330 000],1.1, [1.0 - 1.3],0.9, [0.8 - 1.1],170 000,[140 000 - 200 000],130 000,[110 000 - 150 000],...,...,...,...,0.3, [0.2 - 0.4],0.2, [0.1 - 0.2],..., [<0.10 - 0.12],..., [0.10 - 0.16],...,[16 000 - 32 000],...,[16 000 - 32 000],24 000,[20 000 - 29 000],13 000,[9400 - 16 000],...,...,...,...,2009,22.9,…,...,2009,8.6,
Uzbekistan,28 000,[18 000 - 46 000],<1000,[<100 - <100],28 000,[18 000 - 45 000],<1000,[<100 - <100],0.1, [0.1 - 0.2],<0.1, [<0.1 - <0.1],8000,[4900 - 13 000],<500,[<100 - <100],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[3100 - 11 000],...,[3100 - 11 000],<500,[<200 - 1000],<100,[<100 - <100],...,...,...,...,2009,11.0,2009,2.2,2009,6.8,
Austria,15 000,[12 000 - 20 000],5300,[3900 - 7000],15 000,[12 000 - 20 000],5300,[3900 - 7000],0.3, [0.2 - 0.4],0.1, [0.1 - 0.2],4600,[3500 - 5900],1600,[1100 - 2100],...,...,...,...,0.2, [0.1 - 0.3],0.3, [0.1 - 0.9],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<1000 - 2100],...,[<1000 - 2100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2009,4.0,...,...,...,...,
Belgium,14 000,[11 000 - 18 000],12 000,[9500 - 16 000],14 000,[11 000 - 18 000],12 000,[9500 - 16 000],0.2, [0.2 - 0.3],0.2, [0.2 - 0.3],4400,[3400 - 5500],3700,[2900 - 4800],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <500],...,[<100 - <500],<100,[<100 - <500],<100,[<100 - <100],...,...,...,...,2008,8.7,2009,0.4,2010,5.6,
Bulgaria,3800,[2800 - 5200],1800,[1300 - 2300],3800,[2700 - 5200],1800,[1300 - 2300],0.1, [0.1 - 0.1],<0.1, [<0.1 - <0.1],1100,[<1000 - 1500],<500,[<500 - <1000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - <1000],...,[<500 - <1000],<200,[<200 - <500],<100,[<100 - <200],...,...,...,...,2008,6.8,2008,0.7,2008,3.3,
Croatia,<1000,[<1000 - 1100],<1000,[<500 - <1000],<1000,[<1000 - 1100],<1000,[<500 - <1000],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<500,[<500 - <500],<200,[<200 - <500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,…,...,...,...,...,...,
Czech Republic,2000,[1700 - 2300],1300,[1200 - 1600],2000,[1700 - 2300],1300,[1200 - 1600],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<1000,[<1000 - <1000],<500,[<500 - <500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2009,0.1,...,...,2009,2.6,
Denmark,5300,[4000 - 6300],3300,[2800 - 3800],5300,[4000 - 6300],3300,[2800 - 3800],0.2, [0.1 - 0.2],0.1, [0.1 - 0.1],1400,[1100 - 1700],<1000,[<1000 - 1000],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<200 - <500],...,[<200 - <500],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,...,...,...,...,2009,11.8,
Estonia,9900,[8000 - 12 000],4700,[3800 - 5700],9800,[8000 - 12 000],4700,[3800 - 5700],1.2, [1.0 - 1.5],0.6, [0.5 - 0.8],3000,[2400 - 3800],1400,[1100 - 1700],...,...,...,...,0.2, [0.2 - 0.3],0.3, [0.2 - 0.4],..., [<0.10 - 0.14],..., [0.13 - 0.21],...,[<1000 - 1000],...,[<1000 - 1000],<500,[<500 - <1000],<200,[<100 - <200],...,...,...,...,2007,62.5,2006,7.7,2007,1.7,
Finland,2600,[2200 - 3100],1600,[1300 - 1900],2600,[2200 - 3100],1600,[1300 - 1900],0.1, [0.1 - 0.1],0.1, [<0.1 - 0.1],<1000,[<1000 - <1000],<500,[<500 - <1000],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <200],...,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2009,0.7,...,...,...,...,
France,150 000,[120 000 - 190 000],120 000,[100 000 - 140 000],150 000,[120 000 - 190 000],120 000,[100 000 - 140 000],0.4, [0.3 - 0.5],0.3, [0.3 - 0.4],48 000,[38 000 - 59 000],37 000,[31 000 - 44 000],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.6],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],6900,[3900 - 10 000],6800,[3900 - 10 000],1700,[1400 - 3900],1200,[<1000 - 3000],...,...,...,...,...,...,...,...,...,...,
Germany,67 000,[56 000 - 75 000],49 000,[42 000 - 56 000],67 000,[56 000 - 75 000],49 000,[42 000 - 56 000],0.1, [0.1 - 0.2],0.1, [0.1 - 0.1],12 000,[11 000 - 14 000],9000,[7700 - 10 000],...,...,...,...,<0.1, [<0.1 - <0.1],0.1, [0.1 - 0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],3300,[2500 - 4200],3300,[2500 - 4200],<1000,[<1000 - 1900],<1000,[<500 - <1000],...,...,...,...,...,...,...,...,...,...,
Greece,8800,[7300 - 11 000],8100,[6800 - 9500],8800,[7300 - 11 000],8000,[6800 - 9500],0.1, [0.1 - 0.2],0.1, [0.1 - 0.1],2700,[2200 - 3200],2500,[2100 - 2900],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<200 - <500],...,[<200 - <500],<500,[<200 - <500],<500,[<500 - <500],...,...,...,...,...,...,...,...,...,...,
Hungary,3000,[2200 - 3900],2800,[2100 - 3700],3000,[2200 - 3900],2800,[2100 - 3700],<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],<1000,[<1000 - 1300],<1000,[<1000 - 1200],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <1000],...,[<100 - <100],<200,[<100 - <200],<500,[<200 - <500],...,...,...,...,…,...,...,...,2009,2.6,
Iceland,<1000,[<500 - <1000],<500,[<500 - <500],<1000,[<500 - <1000],<500,[<500 - <500],0.3, [0.2 - 0.4],0.2, [0.2 - 0.3],<200,[<200 - <500],<100,[<100 - <200],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.4],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Ireland,6900,[5200 - 8700],4500,[3400 - 5900],6900,[5200 - 8700],4500,[3400 - 5900],0.2, [0.2 - 0.3],0.2, [0.1 - 0.2],2000,[1500 - 2600],1300,[1000 - 1800],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <500],...,[<100 - <500],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Israel,7500,[5600 - 9900],5200,[3900 - 6800],7500,[5600 - 9900],5100,[3900 - 6800],0.2, [0.1 - 0.2],0.1, [0.1 - 0.2],2200,[1700 - 2900],1500,[1200 - 2100],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<200 - <500],...,[<200 - <500],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Italy,140 000,[110 000 - 180 000],130 000,[99 000 - 170 000],140 000,[110 000 - 180 000],130 000,[99 000 - 170 000],0.3, [0.2 - 0.3],0.3, [0.2 - 0.4],48 000,[36 000 - 61 000],42 000,[32 000 - 56 000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],...,...,...,[1700 - 6200],...,[1700 - 6200],<1000,[<1000 - 4100],1300,[<1000 - 2400],...,...,...,...,...,...,...,...,...,...,
Latvia,8600,[6300 - 12 000],4700,[3500 - 6200],8600,[6300 - 11 000],4700,[3500 - 6200],0.7, [0.5 - 0.9],0.4, [0.3 - 0.5],2600,[1900 - 3500],1400,[1000 - 1800],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.2],<0.10, [<0.10 - 0.10],<0.10, [<0.10 - 0.11],<1000,[<500 - 1200],<1000,[<500 - 1200],<1000,[<500 - <1000],<200,[<100 - <500],...,...,...,...,2007,22.6,...,...,2008,4.0,
Lithuania,1200,[<1000 - 1600],<1000,[<1000 - <1000],1200,[<1000 - 1600],<1000,[<1000 - <1000],0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<500,[<500 - <500],<500,[<200 - <500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],<100,[<100 - <200],<100,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2008,8.0,…,...,…,...,
Luxembourg,<1000,[<1000 - 1200],<1000,[<500 - <1000],<1000,[<1000 - 1200],<1000,[<500 - <1000],0.3, [0.2 - 0.4],0.3, [0.2 - 0.3],<500,[<500 - <500],<200,[<200 - <500],...,...,...,...,0.1, [<0.1 - 0.2],0.1, [<0.1 - 0.4],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,2008,1.8,...,...,...,...,
